params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': 26, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",26,0.55,1,2,500,44096293.96668385,11440966.775785683,6600.730032101578,888.8112932418297,2797.294698976663,152.1417612079854,0.8850893982703226,0.02852052379698087
"{'max_depth': 26, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",26,0.55,1,2,300,44083499.153525434,11299451.909955638,6600.866864811468,876.403833765684,2796.1283496132965,151.4856223912518,0.885118653752834,0.028150002130040434
"{'max_depth': 28, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",28,0.55,1,3,300,44083835.05002554,11154553.95828888,6601.718785869513,867.0156766083576,2794.5143725381386,150.42606574458438,0.8851162168266363,0.027767629759501762
"{'max_depth': 26, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",26,0.55,1,3,500,44176352.693323776,11318124.038272036,6607.695791881178,878.6714533426747,2795.087531909064,152.53219700945718,0.8848779368992896,0.028194554333820177
"{'max_depth': 24, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",24,0.55,1,3,300,44166529.77826514,11188292.910034066,6608.026229464293,866.4748660322484,2805.3893591725196,142.82378689996796,0.884899129003537,0.027855193264476403
"{'max_depth': 28, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",28,0.55,1,3,500,44217309.08964538,11264739.244896395,6611.173106939662,874.3848463832966,2795.7909082041147,153.8477855194508,0.8847700734707957,0.0280525658787706
"{'max_depth': 26, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",26,0.55,1,3,300,44235757.972538404,11180915.721343782,6613.268221694553,866.4075834704215,2796.8614114860757,148.35327953895666,0.8847191459900308,0.027832348927128794
"{'max_depth': 28, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",28,0.55,1,2,300,44363762.21368494,11369182.481203087,6621.759998087771,879.8210682373815,2800.3819796495395,154.67430346943794,0.884388881112176,0.02832280468571861
"{'max_depth': 24, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",24,0.55,1,3,500,44374168.51936268,11335762.882097397,6622.568600031969,879.5626673807488,2804.111748241212,144.4745641548628,0.8843628605653532,0.028233164222816732
"{'max_depth': 26, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",26,0.5,1,3,500,44420259.87998677,11691537.497736119,6623.721587624644,905.4602776671447,2796.6733348493494,155.53747038583705,0.8842490169740062,0.029167575734380936
"{'max_depth': 26, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",26,0.5,1,3,300,44445385.209323324,11559104.446441947,6626.522974938399,895.4706627831478,2797.009575386346,151.36096116681722,0.8841810462978138,0.028818212129844263
"{'max_depth': 28, 'max_features': 0.55, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",28,0.55,1,2,500,44427593.72503007,11307246.6424639,6626.972102018209,875.3580559711864,2801.6962831249202,156.09903134812654,0.8842216537878707,0.02815702749931663
"{'max_depth': 28, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",28,0.5,1,3,300,44583258.80643902,11453729.20311759,6637.7979279389665,885.63322624677,2794.449627294333,153.8775505860339,0.8838185898825057,0.02853641018220713
"{'max_depth': 28, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",28,0.5,1,3,500,44581865.22717708,11433073.066364849,6638.015070136677,882.0043841859103,2792.4573158770004,157.0837907073166,0.8838202028854747,0.02848353178005751
