params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",,0.4,1,2,300,40639706.758300275,11796787.857383141,6328.982928589597,935.6937382940039,2718.564566060941,177.0412597962193,0.8941067014055873,0.029596035284770103
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",28.0,0.4,1,2,300,40894635.784819685,11772989.64601312,6349.736548689388,929.0975839957783,2726.1741652311202,172.3789969745204,0.8934386989347504,0.029528138556570153
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",,0.4,1,3,500,41006333.140501566,11924598.200740097,6357.409887374669,940.4833845520965,2720.6332828777195,184.1803801717379,0.893150715691602,0.029920878711579977
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",28.0,0.4,1,2,500,41073638.6024124,12068576.214971298,6361.614022123787,951.4507101766352,2725.897866994775,173.27388766465666,0.892978187077702,0.030295629069766652
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",24.0,0.2,1,3,500,41104055.87511851,11976018.434291678,6363.925958087428,952.2360068015147,2842.4012854493835,154.3162794436502,0.892904784262225,0.03004074048541255
"{'max_depth': 24, 'max_features': 0.2, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",24.0,0.2,1,3,300,41125402.35039585,12098483.041114228,6365.000293039721,958.2590620495868,2839.5645143941183,151.26517958452504,0.8928484074991644,0.030365419633023055
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",28.0,0.4,1,3,500,41137169.99464712,12150621.710900286,6366.346389114783,954.046892284876,2726.240453747958,174.45577303423525,0.892810722269377,0.03051370062084325
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",,0.4,1,3,300,41151338.58966899,12023649.620762218,6368.119521619626,947.4114850760626,2720.889955528267,185.9790933214878,0.8927747877955671,0.030174628520207237
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",,0.4,1,2,500,41138261.69304443,11739725.826846616,6368.946185895074,928.5360850960644,2720.7414995063273,178.0705434992754,0.8928065903474857,0.029425136103193677
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",24.0,0.4,1,2,500,41224692.213648714,11478332.943903176,6378.037030715157,904.4356100421659,2751.600830328611,161.38691999018928,0.8925732263109589,0.028740381600676792
